"id","user_id","morning_score","afternoon_score","evening_score","extra_score","date","sport"
"5","0","0","2","3","1","2025-01-25","false"
"6","0","1","0","3","1","2025-01-26","false"
"7","0","2","2","2","1","2025-01-27","false"
"8","0","2","1","1","1","2025-01-28","false"
"9","0","2","3","2","2","2025-01-29","false"
"10","0","3","1","2","1","2025-01-30","false"
"11","0","2","1","2","2","2025-01-31","false"
"12","0","2","1","2","0","2025-02-01","false"
"13","0","2","1","3","2","2025-02-02","false"
"14","0","2","2","3","2","2025-02-03","false"
"15","0","1","3","1","3","2025-02-04","true"
"16","0","1","2","3","1","2025-02-05","false"
"17","0","2","1","3","1","2025-02-06","true"
"18","0","1","2","3","2","2025-02-07","false"
"19","0","3","1",,"0","2025-02-08","true"
"20","0","0","2","3","1","2025-02-09","false"
"21","0","2","1","2","1","2025-02-10","false"
"22","0","1","2","2","0","2025-02-11","true"
"23","0","2","2","3","0","2025-02-12","true"
"24","0","2","2",,,"2025-02-13","false"
"25","0","2","2",,"1","2025-02-14","false"
"26","0","2","2","3","0","2025-02-15","true"
"27","0","0","2","2","1","2025-02-16","true"
"28","0","2","2","0","2","2025-02-17","true"
"29","0","1","3","3","0","2025-02-18","true"
"30","0","2","2","2","0","2025-02-19","true"
"31","0","3","2","1","1","2025-02-20","false"
"32","0","1","3","3","2","2025-02-21","false"
"33","0","2","2","3","0","2025-02-22","false"
"34","0","2","2","2","1","2025-02-23","true"
"35","0","2","2","3","1","2025-02-24","true"
"36","0","1","2",,"0","2025-02-25","false"